State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Max _Team,Min_Temp,Avg_temp,Rainfall,Humidity,Soil
Odisha,ANUGUL,2011,Summer     ,Wheat,8,13.3,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Winter     ,Groundnut,287,350.7,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Winter     ,Horse-gram,3886,1049.2,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Winter     ,Maize,10,20.4,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Winter     ,Moong(Green Gram),816,151,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Winter     ,Potato,557,5003,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Winter     ,Rapeseed &Mustard,400,44.4,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Winter     ,Rice,64000,67000,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Winter     ,Sesamum,1008,152.2,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Winter     ,Sugarcane,61,3065.6,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Winter     ,Urad,952,202.8,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Autumn     ,Groundnut,3043,3292.5,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Autumn     ,Maize,1139,1100,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Autumn     ,Moong(Green Gram),1932,311.1,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Autumn     ,Ragi,2,1.3,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Autumn     ,Rice,14000,21000,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Autumn     ,Sesamum,768,173.6,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Autumn     ,Urad,1992,384.5,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Summer     ,Groundnut,301,393.1,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Summer     ,Maize,6,10.7,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Summer     ,Moong(Green Gram),349,107.1,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Summer     ,Rice,173000,2000,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Summer     ,Sesamum,175,49.7,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Summer     ,Urad,11,4.4,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2012,Summer     ,Wheat,1,1.8,33.5,21.66666667,27.58333333,1389,72.25,RED AND YELLOW SOIL&RED SOIL
